,adss,Gads,adsb,slab,bulk,Csite,Cadsb
0,Pd2NiGa_NH2_45_3c,0.302674075,Pd2NiGa_NH2_45_3c,Pd2NiGa_NH2_45_3c,Pd2NiGa,3,3
1,Ru2NbGa_NH_0_1c,-1.23565462,Ru2NbGa_NH_0_1c,Ru2NbGa_NH_0_1c,Ru2NbGa,3,2
2,Pt2VZn_NH2_45_1c,-0.391601825,Pt2VZn_NH2_45_1c,Pt2VZn_NH2_45_1c,Pt2VZn,3,3
3,Co2TaAs_NH_0_2t,-1.31350061,Co2TaAs_NH_0_2t,Co2TaAs_NH_0_2t,Co2TaAs,0,2
4,V2TiSi_NNHv_0_2t,1.888160155,V2TiSi_NNHv_0_2t,V2TiSi_NNHv_0_2t,V2TiSi,0,1
5,Rh2MoZn_NH_0_1c,-1.18041156,Rh2MoZn_NH_0_1c,Rh2MoZn_NH_0_1c,Rh2MoZn,3,2
